Date,Name,Adj Close
2011-06-01,AAPL,10.308697
2011-07-01,AAPL,11.991956
2011-08-01,AAPL,11.818443
2011-09-01,AAPL,11.71065
2011-10-01,AAPL,12.431125
2011-11-01,AAPL,11.737673
2011-12-01,AAPL,12.437883
2012-01-01,AAPL,14.01887
2012-02-01,AAPL,16.658775
2012-03-01,AAPL,18.412664
2012-04-01,AAPL,17.9345
2012-05-01,AAPL,17.742561
2012-06-01,AAPL,17.935118
2012-07-01,AAPL,18.756937
2012-08-01,AAPL,20.430059
2012-09-01,AAPL,20.57515
2012-10-01,AAPL,18.361259
2012-11-01,AAPL,18.051605
2012-12-01,AAPL,16.488508
2013-01-01,AAPL,14.112698
2013-02-01,AAPL,13.676137
2013-03-01,AAPL,13.79511
2013-04-01,AAPL,13.798848
2013-05-01,AAPL,14.015441
2013-06-01,AAPL,12.439301
2013-07-01,AAPL,14.196044
2013-08-01,AAPL,15.284286
2013-09-01,AAPL,15.054588
2013-10-01,AAPL,16.505573
2013-11-01,AAPL,17.559313
2013-12-01,AAPL,17.819059
2014-01-01,AAPL,15.900002
2014-02-01,AAPL,16.71438
2014-03-01,AAPL,17.149929
2014-04-01,AAPL,18.854563
2014-05-01,AAPL,20.225624
2014-06-01,AAPL,20.901197
2014-07-01,AAPL,21.501711
2014-08-01,AAPL,23.053619
2014-09-01,AAPL,22.77273
2014-10-01,AAPL,24.411461
2014-11-01,AAPL,26.881992
2014-12-01,AAPL,25.057606
2015-01-01,AAPL,26.59675
2015-02-01,AAPL,29.161987
2015-03-01,AAPL,28.358606
2015-04-01,AAPL,28.522703
2015-05-01,AAPL,29.691864
2015-06-01,AAPL,28.705923
2015-07-01,AAPL,27.760731
2015-08-01,AAPL,25.806267
2015-09-01,AAPL,25.357531
2015-10-01,AAPL,27.472578
2015-11-01,AAPL,27.196701
2015-12-01,AAPL,24.302439
2016-01-01,AAPL,22.473866
2016-02-01,AAPL,22.323797
2016-03-01,AAPL,25.300169
2016-04-01,AAPL,21.760138
2016-05-01,AAPL,23.18079
2016-06-01,AAPL,22.327021
2016-07-01,AAPL,24.337851
2016-08-01,AAPL,24.779259
2016-09-01,AAPL,26.545429
2016-10-01,AAPL,26.660484
2016-11-01,AAPL,25.951357
2016-12-01,AAPL,27.335484
2017-01-01,AAPL,28.640661
2017-02-01,AAPL,32.331974
2017-03-01,AAPL,34.053204
2017-04-01,AAPL,34.050831
2017-05-01,AAPL,36.210274
2017-06-01,AAPL,34.279442
2017-07-01,AAPL,35.400517
2017-08-01,AAPL,39.035057
2017-09-01,AAPL,36.827488
2017-10-01,AAPL,40.392677
2017-11-01,AAPL,41.064133
2017-12-01,AAPL,40.583443
2018-01-01,AAPL,40.151787
2018-02-01,AAPL,42.71537
2018-03-01,AAPL,40.399765
2018-04-01,AAPL,39.792973
2018-05-01,AAPL,44.996445
2018-06-01,AAPL,44.744537
2018-07-01,AAPL,45.996632
2018-08-01,AAPL,55.022411
2018-09-01,AAPL,54.756927
2018-10-01,AAPL,53.088074
2018-11-01,AAPL,43.317505
2018-12-01,AAPL,38.39592
2019-01-01,AAPL,40.513611
2019-02-01,AAPL,42.146912
2019-03-01,AAPL,46.434544
2019-04-01,AAPL,49.055115
2019-05-01,AAPL,42.797031
2019-06-01,AAPL,48.56918
2019-07-01,AAPL,52.279598
2019-08-01,AAPL,51.224396
2019-09-01,AAPL,55.170628
2019-10-01,AAPL,61.277161
2019-11-01,AAPL,65.831795
2019-12-01,AAPL,72.552094
2020-01-01,AAPL,76.470634
